(1000, 128, 1) (1000, 128)
param count: 26177
(128, 1) (128, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(128, 1) (128, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
epoch=276, train_loss: 0.002, train_l2: 0.851, test_l2: 0.777
epoch=277, train_loss: 0.002, train_l2: 1.029, test_l2: 1.473
epoch=278, train_loss: 0.007, train_l2: 2.291, test_l2: 1.695
epoch=279, train_loss: 0.003, train_l2: 1.428, test_l2: 1.367
epoch=280, train_loss: 0.006, train_l2: 1.766, test_l2: 1.229
epoch=281, train_loss: 0.001, train_l2: 0.828, test_l2: 0.856
epoch=282, train_loss: 0.006, train_l2: 1.920, test_l2: 1.051
epoch=283, train_loss: 0.002, train_l2: 1.024, test_l2: 0.893
epoch=284, train_loss: 0.003, train_l2: 1.357, test_l2: 0.916
epoch=285, train_loss: 0.002, train_l2: 0.922, test_l2: 0.894
epoch=286, train_loss: 0.003, train_l2: 1.306, test_l2: 1.119
epoch=287, train_loss: 0.002, train_l2: 0.851, test_l2: 0.817
epoch=288, train_loss: 0.003, train_l2: 1.461, test_l2: 1.218
epoch=289, train_loss: 0.004, train_l2: 1.640, test_l2: 1.517
epoch=290, train_loss: 0.004, train_l2: 1.718, test_l2: 1.189
epoch=291, train_loss: 0.001, train_l2: 0.812, test_l2: 0.777
epoch=292, train_loss: 0.003, train_l2: 1.286, test_l2: 0.851
epoch=293, train_loss: 0.002, train_l2: 1.054, test_l2: 1.003
epoch=294, train_loss: 0.004, train_l2: 1.515, test_l2: 1.272
epoch=295, train_loss: 0.002, train_l2: 1.084, test_l2: 1.040
epoch=296, train_loss: 0.003, train_l2: 1.429, test_l2: 1.258
epoch=297, train_loss: 0.002, train_l2: 1.116, test_l2: 1.128
epoch=298, train_loss: 0.003, train_l2: 1.449, test_l2: 1.114
epoch=299, train_loss: 0.002, train_l2: 1.092, test_l2: 0.995
epoch=300, train_loss: 0.003, train_l2: 1.400, test_l2: 1.185
epoch=301, train_loss: 0.002, train_l2: 1.038, test_l2: 0.915
epoch=302, train_loss: 0.003, train_l2: 1.379, test_l2: 1.253
epoch=303, train_loss: 0.003, train_l2: 1.264, test_l2: 1.252
epoch=304, train_loss: 0.003, train_l2: 1.496, test_l2: 1.183
epoch=305, train_loss: 0.001, train_l2: 0.871, test_l2: 0.853
epoch=306, train_loss: 0.003, train_l2: 1.227, test_l2: 1.049
epoch=307, train_loss: 0.003, train_l2: 1.282, test_l2: 1.178
epoch=308, train_loss: 0.004, train_l2: 1.623, test_l2: 1.387
epoch=309, train_loss: 0.001, train_l2: 0.836, test_l2: 0.891
epoch=310, train_loss: 0.001, train_l2: 0.923, test_l2: 0.822
epoch=311, train_loss: 0.003, train_l2: 1.061, test_l2: 0.972
epoch=312, train_loss: 0.003, train_l2: 1.202, test_l2: 1.033
epoch=313, train_loss: 0.001, train_l2: 0.604, test_l2: 0.524
epoch=314, train_loss: 0.002, train_l2: 0.906, test_l2: 1.057
epoch=315, train_loss: 0.002, train_l2: 1.046, test_l2: 0.748
epoch=316, train_loss: 0.002, train_l2: 0.910, test_l2: 1.228
epoch=317, train_loss: 0.002, train_l2: 1.146, test_l2: 1.326
epoch=318, train_loss: 0.003, train_l2: 1.444, test_l2: 1.149
epoch=319, train_loss: 0.002, train_l2: 1.088, test_l2: 1.168
epoch=320, train_loss: 0.004, train_l2: 1.694, test_l2: 1.229
epoch=321, train_loss: 0.002, train_l2: 1.089, test_l2: 1.028
epoch=322, train_loss: 0.003, train_l2: 1.431, test_l2: 1.090
epoch=323, train_loss: 0.001, train_l2: 0.710, test_l2: 0.680
epoch=324, train_loss: 0.002, train_l2: 1.123, test_l2: 0.997
epoch=325, train_loss: 0.003, train_l2: 1.273, test_l2: 1.161
epoch=326, train_loss: 0.004, train_l2: 1.635, test_l2: 1.373
epoch=327, train_loss: 0.001, train_l2: 0.769, test_l2: 0.879
epoch=328, train_loss: 0.002, train_l2: 1.113, test_l2: 0.724
epoch=329, train_loss: 0.001, train_l2: 0.674, test_l2: 0.587
epoch=330, train_loss: 0.001, train_l2: 0.760, test_l2: 0.728
epoch=331, train_loss: 0.001, train_l2: 0.613, test_l2: 0.515
epoch=332, train_loss: 0.003, train_l2: 1.248, test_l2: 1.333
epoch=333, train_loss: 0.003, train_l2: 1.487, test_l2: 1.398
epoch=334, train_loss: 0.002, train_l2: 1.196, test_l2: 0.855
epoch=335, train_loss: 0.002, train_l2: 1.182, test_l2: 0.962
epoch=336, train_loss: 0.003, train_l2: 1.311, test_l2: 0.674
epoch=337, train_loss: 0.002, train_l2: 0.946, test_l2: 0.748
epoch=338, train_loss: 0.001, train_l2: 0.888, test_l2: 0.718
epoch=339, train_loss: 0.002, train_l2: 0.997, test_l2: 0.794
epoch=340, train_loss: 0.001, train_l2: 0.692, test_l2: 0.703
epoch=341, train_loss: 0.001, train_l2: 0.705, test_l2: 0.555
epoch=342, train_loss: 0.002, train_l2: 0.980, test_l2: 1.024
epoch=343, train_loss: 0.005, train_l2: 1.807, test_l2: 1.398
epoch=344, train_loss: 0.006, train_l2: 1.960, test_l2: 1.118
epoch=345, train_loss: 0.005, train_l2: 1.702, test_l2: 1.016
epoch=346, train_loss: 0.002, train_l2: 1.053, test_l2: 0.827
epoch=347, train_loss: 0.002, train_l2: 1.077, test_l2: 0.722
epoch=348, train_loss: 0.002, train_l2: 1.080, test_l2: 0.766
epoch=349, train_loss: 0.002, train_l2: 0.989, test_l2: 0.756
epoch=350, train_loss: 0.001, train_l2: 0.868, test_l2: 0.672
epoch=351, train_loss: 0.001, train_l2: 0.917, test_l2: 0.606
epoch=352, train_loss: 0.002, train_l2: 0.948, test_l2: 0.589
epoch=353, train_loss: 0.001, train_l2: 0.777, test_l2: 0.537
epoch=354, train_loss: 0.002, train_l2: 1.147, test_l2: 1.091
epoch=355, train_loss: 0.010, train_l2: 2.217, test_l2: 1.952
epoch=356, train_loss: 0.011, train_l2: 2.773, test_l2: 1.985
epoch=357, train_loss: 0.003, train_l2: 1.278, test_l2: 1.184
epoch=358, train_loss: 0.002, train_l2: 1.082, test_l2: 0.733
epoch=359, train_loss: 0.001, train_l2: 0.941, test_l2: 0.668
epoch=360, train_loss: 0.001, train_l2: 0.777, test_l2: 0.608
epoch=361, train_loss: 0.001, train_l2: 0.711, test_l2: 0.563
epoch=362, train_loss: 0.001, train_l2: 0.684, test_l2: 0.521
epoch=363, train_loss: 0.001, train_l2: 0.611, test_l2: 0.530
epoch=364, train_loss: 0.000, train_l2: 0.514, test_l2: 0.618
epoch=365, train_loss: 0.000, train_l2: 0.436, test_l2: 0.569
epoch=366, train_loss: 0.000, train_l2: 0.427, test_l2: 0.529
